Date,Latitude,Longitude,Sensor,ASV,Data
2024/05/14-11:10:39,37.4188306,-5.9990436,Sonar,1,2394.0
2024/05/14-11:10:40,37.4188304,-5.9990431,Turbidity,1,25.8781
2024/05/14-11:10:40,37.4188304,-5.9990431,Temperature,1,24.1971
2024/05/14-11:10:40,37.4188304,-5.9990431,PH,1,7.28343
2024/05/14-11:10:40,37.4188304,-5.9990431,Conductivity,1,2.82351
2024/05/14-11:10:40,37.4188304,-5.9990431,Sensor_battery,1,80.625
2024/05/14-11:10:43,37.4188295,-5.99904,Sonar,1,801.0
2024/05/14-11:10:43,37.418829,-5.9990381,Sonar,1,860.0
2024/05/14-11:10:43,37.4188289,-5.9990376,Turbidity,1,26.0781
2024/05/14-11:10:43,37.4188289,-5.9990376,Temperature,1,24.1991
2024/05/14-11:10:43,37.4188289,-5.9990376,PH,1,7.28525
2024/05/14-11:10:43,37.4188289,-5.9990376,Sensor_battery,1,80.625
2024/05/14-11:10:43,37.4188289,-5.9990376,Conductivity,1,2.82422
2024/05/14-11:10:43,37.4188299,-5.9990414,Conductivity,1,2.82422
2024/05/14-11:10:43,37.4188299,-5.9990414,Turbidity,1,26.559
2024/05/14-11:10:43,37.4188299,-5.9990414,Sensor_battery,1,80.625
2024/05/14-11:10:43,37.4188299,-5.9990414,PH,1,7.28588
2024/05/14-11:10:43,37.4188299,-5.9990414,Temperature,1,24.1993
2024/05/14-11:10:43,37.4188294,-5.9990395,Temperature,1,24.1982
2024/05/14-11:10:43,37.4188294,-5.9990395,Turbidity,1,28.2328
2024/05/14-11:10:43,37.4188294,-5.9990395,PH,1,7.28916
2024/05/14-11:10:43,37.4188294,-5.9990395,Sensor_battery,1,80.625
2024/05/14-11:10:43,37.4188294,-5.9990395,Conductivity,1,2.82422
2024/05/14-11:10:44,37.4188285,-5.9990362,Sonar,1,936.0
2024/05/14-11:10:44,37.4188285,-5.9990357,Turbidity,1,26.0982
2024/05/14-11:10:44,37.4188285,-5.9990357,Temperature,1,24.1997
2024/05/14-11:10:44,37.4188285,-5.9990357,PH,1,7.2817
2024/05/14-11:10:44,37.4188285,-5.9990357,Sensor_battery,1,80.625
2024/05/14-11:10:44,37.4188285,-5.9990357,Conductivity,1,2.82351
2024/05/14-11:10:44,37.4188282,-5.9990341,Sonar,1,1018.0
2024/05/14-11:10:45,37.4188281,-5.9990335,Turbidity,1,31.3092
2024/05/14-11:10:45,37.4188281,-5.9990335,Temperature,1,24.1865
2024/05/14-11:10:45,37.4188281,-5.9990335,PH,1,7.28426
2024/05/14-11:10:45,37.4188281,-5.9990335,Sensor_battery,1,80.625
2024/05/14-11:10:45,37.4188281,-5.9990335,Conductivity,1,2.82351
2024/05/14-11:10:45,37.4188276,-5.9990318,Sonar,1,1590.0
2024/05/14-11:10:46,37.4188275,-5.9990312,Turbidity,1,28.9792
2024/05/14-11:10:46,37.4188275,-5.9990312,PH,1,7.28529
2024/05/14-11:10:46,37.4188275,-5.9990312,Temperature,1,24.1898
2024/05/14-11:10:46,37.4188275,-5.9990312,Sensor_battery,1,80.625
2024/05/14-11:10:46,37.4188275,-5.9990312,Conductivity,1,2.82279
2024/05/14-11:10:46,37.4188271,-5.9990295,Sonar,1,1730.0
2024/05/14-11:10:47,37.4188269,-5.9990289,Turbidity,1,27.26
2024/05/14-11:10:47,37.4188269,-5.9990289,Temperature,1,24.1862
2024/05/14-11:10:47,37.4188269,-5.9990289,PH,1,7.28581
2024/05/14-11:10:47,37.4188269,-5.9990289,Sensor_battery,1,80.625
2024/05/14-11:10:47,37.4188269,-5.9990289,Conductivity,1,2.82351
2024/05/14-11:10:47,37.4188267,-5.9990276,Sonar,1,1907.0
2024/05/14-11:10:48,37.4188267,-5.9990276,Turbidity,1,29.6308
2024/05/14-11:10:48,37.4188267,-5.9990276,Sensor_battery,1,80.625
2024/05/14-11:10:48,37.4188267,-5.9990276,PH,1,7.29068
2024/05/14-11:10:48,37.4188267,-5.9990276,Conductivity,1,2.82279
2024/05/14-11:10:48,37.4188267,-5.9990276,Temperature,1,24.1832
2024/05/14-11:10:49,37.4188261,-5.9990246,Sonar,1,2140.0
2024/05/14-11:10:49,37.4188259,-5.9990239,Temperature,1,24.1847
2024/05/14-11:10:49,37.4188259,-5.9990239,Turbidity,1,28.5069
2024/05/14-11:10:49,37.4188259,-5.9990239,PH,1,7.29167
2024/05/14-11:10:49,37.4188259,-5.9990239,Sensor_battery,1,80.625
2024/05/14-11:10:49,37.4188259,-5.9990239,Conductivity,1,2.82422
2024/05/14-11:10:50,37.4188255,-5.9990221,Sonar,1,2470.0
2024/05/14-11:10:50,37.4188253,-5.9990215,Turbidity,1,25.9453
2024/05/14-11:10:50,37.4188253,-5.9990215,Temperature,1,24.1846
2024/05/14-11:10:50,37.4188253,-5.9990215,PH,1,7.2856
2024/05/14-11:10:50,37.4188253,-5.9990215,Sensor_battery,1,80.625
2024/05/14-11:10:50,37.4188253,-5.9990215,Conductivity,1,2.82351
2024/05/14-11:10:50,37.4188249,-5.9990197,Sonar,1,2841.0
2024/05/14-11:10:51,37.4188247,-5.999019,Turbidity,1,26.1309
2024/05/14-11:10:51,37.4188247,-5.999019,Temperature,1,24.184
2024/05/14-11:10:51,37.4188247,-5.999019,Sensor_battery,1,80.625
2024/05/14-11:10:51,37.4188247,-5.999019,PH,1,7.28285
2024/05/14-11:10:51,37.4188247,-5.999019,Conductivity,1,2.82351
2024/05/14-11:10:51,37.4188242,-5.9990173,Sonar,1,3103.0
2024/05/14-11:10:53,37.418824,-5.9990168,Turbidity,1,27.3278
2024/05/14-11:10:53,37.418824,-5.9990168,Temperature,1,24.1869
2024/05/14-11:10:53,37.418824,-5.9990168,PH,1,7.28111
2024/05/14-11:10:53,37.418824,-5.9990168,Sensor_battery,1,80.625
2024/05/14-11:10:53,37.418824,-5.9990168,Conductivity,1,2.82422
2024/05/14-11:10:53,37.4188236,-5.9990153,Sonar,1,812.0
2024/05/14-11:10:53,37.4188234,-5.9990148,Temperature,1,24.1922
2024/05/14-11:10:53,37.4188234,-5.9990148,Sensor_battery,1,80.625
2024/05/14-11:10:53,37.4188234,-5.9990148,PH,1,7.28886
